gene,orf name,description,functional category,slide(s),mating type,source of deletion mutant(s),primary Hybset(s),responsive/non-responsive,"nr. sign. changes (p<0.05, FC>1.7)",profile first published
FAA4,YMR246W,Long chain fatty acyl-CoA synthetase; activates imported fatty acids with a preference for C12:0-C16:0 chain lengths; functions in long chain fatty acid import; important for survival during stationary phase; localized to lipid particles; involved in sphingolipid-to-glycerolipid metabolism,small molecule metabolism,JBE_00008252_S01,MATalpha,Open Biosystems,HTP041,non-responsive mutant,3,This study
FBP1,YLR377C,"Fructose-1,6-bisphosphatase, key regulatory enzyme in the gluconeogenesis pathway, required for glucose metabolism; undergoes either proteasome-mediated or autophagy-mediated degradation depending on growth conditions; interacts with Vid30p",small molecule metabolism,EA_00004343_S01 / EA_00004344_S01,MATalpha,Open Biosystems / Open Biosystems,EA027 / EA027,non-responsive mutant,0,4
FKS1,YLR342W,"Catalytic subunit of 1,3-beta-D-glucan synthase, functionally redundant with alternate catalytic subunit Gsc2p; binds to regulatory subunit Rho1p; involved in cell wall synthesis and maintenance; localizes to sites of cell wall remodeling",small molecule metabolism,JBE_00009580_S01 / JBE_00010091_S01,MATalpha,Open Biosystems / Open Biosystems,HTP077 / HTP077,responsive mutant,93,This study
GAP1,YKR039W,General amino acid permease; Gap1p senses the presence of amino acid substrates to regulate localization to the plasma membrane when needed; essential for invasive growth,small molecule metabolism,EA_00005185_S01 / EA_00005186_S01,MATalpha,Euroscarf / Euroscarf,EA014 / EA014,non-responsive mutant,1,This study
GCR2,YNL199C,Transcriptional activator of genes involved in glycolysis; interacts and functions with the DNA-binding protein Gcr1p,small molecule metabolism,EA_00004012_S01 / EA_00004011_S01,MATalpha,Open Biosystems / Open Biosystems,EA026 / EA026,responsive mutant,86,4
GDB1,YPR184W,"Glycogen debranching enzyme containing glucanotranferase and alpha-1,6-amyloglucosidase activities, required for glycogen degradation; phosphorylated in mitochondria; activity is inhibited by Igd1p",small molecule metabolism,EA_00006623_S01,MATalpha,Open Biosystems,EA036,non-responsive mutant,0,4
GLG1,YKR058W,"Self-glucosylating initiator of glycogen synthesis, also glucosylates n-dodecyl-beta-D-maltoside; similar to mammalian glycogenin",small molecule metabolism,EA_00007820_S01 / EA_00007821_S01,MATalpha,Open Biosystems / Open Biosystems,EA039 / EA039,non-responsive mutant,1,4
GLG2,YJL137C,"Self-glucosylating initiator of glycogen synthesis, also glucosylates n-dodecyl-beta-D-maltoside; similar to mammalian glycogenin",small molecule metabolism,EA_00007822_S01 / EA_00007823_S01,MATalpha,Open Biosystems / Open Biosystems,EA039 / EA039,non-responsive mutant,1,4
GLK1,YCL040W,"Glucokinase; catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources; GLK1 has a paralog, EMI2, that arose from the whole genome duplication",small molecule metabolism,EA_00003795_S01 / EA_00003796_S01,MATalpha,Open Biosystems / Open Biosystems,EA020 / EA020,non-responsive mutant,2,4
GLT1,YDL171C,"NAD(+)-dependent glutamate synthase (GOGAT), synthesizes glutamate from glutamine and alpha-ketoglutarate; with Gln1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source",small molecule metabolism,JBE_00008276_S01,MATalpha,Open Biosystems,HTP043,non-responsive mutant,1,This study
GPH1,YPR160W,"Non-essential glycogen phosphorylase required for the mobilization of glycogen, activity is regulated by cyclic AMP-mediated phosphorylation, expression is regulated by stress-response elements and by the HOG MAP kinase pathway",small molecule metabolism,EA_00003970_S01 / EA_00003992_S01,MATalpha,Open Biosystems / Open Biosystems,EA022 / EA022,responsive mutant,19,4
GPT2,YKR067W,Glycerol-3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase located in lipid particles and the ER; involved in the stepwise acylation of glycerol-3-phosphate and dihydroxyacetone in lipid biosynthesis,small molecule metabolism,SHE_00008299_S01,MATalpha,Open Biosystems,HTP018,non-responsive mutant,1,This study
GRX2,YDR513W,"Cytoplasmic glutaredoxin; thioltransferase, glutathione-dependent disulfide oxidoreductase involved in maintaining redox state of target proteins, also exhibits glutathione peroxidase activity, expression induced in response to stress; GRX2 has a paralog, GRX1, that arose from the whole genome duplication",small molecule metabolism,SV_00001536_S01 / SV_00001537_S01,MATalpha,Euroscarf / Euroscarf,SV026 / SV026,non-responsive mutant,2,This study
GSY1,YFR015C,"Glycogen synthase with similarity to Gsy2p, the more highly expressed yeast homolog; expression induced by glucose limitation, nitrogen starvation, environmental stress, and entry into stationary phase",small molecule metabolism,EA_00004299_S01 / EA_00004298_S01,MATalpha,Euroscarf / Euroscarf,EA009 / EA009,responsive mutant,4,4
GSY2,YLR258W,"Glycogen synthase, similar to Gsy1p; expression induced by glucose limitation, nitrogen starvation, heat shock, and stationary phase; activity regulated by cAMP-dependent, Snf1p and Pho85p kinases as well as by the Gac1p-Glc7p phosphatase",small molecule metabolism,EA_00004297_S01 / EA_00004296_S01,MATalpha,Euroscarf / Euroscarf,EA009 / EA009,responsive mutant,4,4
HMG1,YML075C,"One of two isozymes of HMG-CoA reductase that catalyzes the conversion of HMG-CoA to mevalonate, which is a rate-limiting step in sterol biosynthesis; localizes to the nuclear envelope; overproduction induces the formation of karmellae",small molecule metabolism,JBE_00009400_S01,MATalpha,"Holstege lab, UMC Utrecht",HTP095,non-responsive mutant,1,This study
HOM2,YDR158W,"Aspartic beta semi-aldehyde dehydrogenase, catalyzes the second step in the common pathway for methionine and threonine biosynthesis; expression regulated by Gcn4p and the general control of amino acid synthesis",small molecule metabolism,TLS_00010860_S01 / TLS_00010861_S01,MATalpha,Open Biosystems / Open Biosystems,HTP125 / HTP125,responsive mutant,72,This study
HST3,YOR025W,"Member of the Sir2 family of NAD(+)-dependent protein deacetylases; involved along with Hst4p in telomeric silencing, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism",small molecule metabolism,JBE_00008691_S01 / TLS_00009863_S01,MATalpha,Open Biosystems / Open Biosystems,HTP015 / HTP085,non-responsive mutant,2,This study
HST4,YDR191W,"Member of the Sir2 family of NAD(+)-dependent protein deacetylases; involved along with Hst3p in silencing at telomeres, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism",small molecule metabolism,JBE_00008931_S01 / JBE_00008932_S01,MATalpha,Open Biosystems / Open Biosystems,HTP040 / HTP040,non-responsive mutant,0,This study
HXK1,YFR053C,"Hexokinase isoenzyme 1, a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves the hexokinase Hxk2p",small molecule metabolism,EA_00005269_S01 / EA_00005270_S01,MATalpha,Euroscarf / Euroscarf,EA015 / EA015,non-responsive mutant,2,4
IDP2,YLR174W,"Cytosolic NADP-specific isocitrate dehydrogenase, catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose",small molecule metabolism,JBE_00009577_S01,MATalpha,Open Biosystems,HTP077,non-responsive mutant,0,This study
IDP3,YNL009W,"Peroxisomal NADP-dependent isocitrate dehydrogenase, catalyzes oxidation of isocitrate to alpha-ketoglutarate with the formation of NADP(H+), required for growth on unsaturated fatty acids",small molecule metabolism,DvL_00005659_S01 / DvL_00005655_S01,MATalpha,Open Biosystems / Open Biosystems,DL003 / DL003,non-responsive mutant,0,This study
INO1,YJL153C,"Inositol-3-phosphate synthase, involved in synthesis of inositol phosphates and inositol-containing phospholipids; transcription is coregulated with other phospholipid biosynthetic genes by Ino2p and Ino4p, which bind the UASINO DNA element",small molecule metabolism,JBE_00010225_S01,MATalpha,Open Biosystems,HTP109,non-responsive mutant,0,This study
IPK1,YDR315C,"Inositol 1,3,4,5,6-pentakisphosphate 2-kinase, nuclear protein required for synthesis of 1,2,3,4,5,6-hexakisphosphate (phytate), which is integral to cell function; has 2 motifs conserved in other fungi; ipk1 gle1 double mutant is inviable",small molecule metabolism,JBE_00009469_S01 / TLS_00009868_S01,MATalpha,Open Biosystems / Open Biosystems,HTP070 / HTP070,responsive mutant,216,This study
LAP3,YNL239W,Cysteine aminopeptidase with homocysteine-thiolactonase activity; protects cells against homocysteine toxicity; has bleomycin hydrolase activity in vitro; transcription is regulated by galactose via Gal4p; orthologous to human BLMH,small molecule metabolism,TLS_00009696_S01,MATalpha,Open Biosystems,HTP062,non-responsive mutant,0,This study
MAE1,YKL029C,"Mitochondrial malic enzyme, catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids",small molecule metabolism,JBE_00008908_S01,MATalpha,Open Biosystems,HTP032,non-responsive mutant,0,This study
MET10,YFR030W,"Subunit alpha of assimilatory sulfite reductase, which converts sulfite into sulfide",small molecule metabolism,TLS_00008078_S01 / TLS_00008079_S01,MATalpha,Open Biosystems / Open Biosystems,HTP016 / HTP016,non-responsive mutant,0,This study
MET13,YGL125W,"Major isozyme of methylenetetrahydrofolate reductase, catalyzes the reduction of 5,10-methylenetetrahydrofolate to 5-methyltetrahydrofolate in the methionine biosynthesis pathway",small molecule metabolism,TLS_00009782_S01 / JBE_00010183_S01,MATalpha,Euroscarf / Euroscarf,HTP099 / HTP099,responsive mutant,4,This study
MGA2,YIR033W,"ER membrane protein involved in regulation of OLE1 transcription, acts with homolog Spt23p; inactive ER form dimerizes and one subunit is then activated by ubiquitin/proteasome-dependent processing followed by nuclear targeting",small molecule metabolism,JBE_00008706_S01 / JBE_00009279_S01,MATalpha,Open Biosystems / Open Biosystems,HTP017 / HTP085,responsive mutant,170,This study
MHT1,YLL062C,"S-methylmethionine-homocysteine methyltransferase, functions along with Sam4p in the conversion of S-adenosylmethionine (AdoMet) to methionine to control the methionine/AdoMet ratio",small molecule metabolism,DvL_00011185_S01 / DvL_00011186_S01,MATalpha,Open Biosystems / Open Biosystems,HTP134 / HTP134,non-responsive mutant,0,This study
NCL1,YBL024W,"S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase, methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; increases proportion of tRNALeu(CAA) with m5C at wobble position in response to hydrogen peroxide, causing selective translation of mRNA from genes enriched in TTG codon; loss of NCL1 confers hypersensitivity to oxidative stress; similar to Nop2p and human proliferation associated nucleolar protein p120",small molecule metabolism,JBE_00010431_S01,MATalpha,Open Biosystems,HTP063,non-responsive mutant,1,This study
NDE1,YMR145C,"Mitochondrial external NADH dehydrogenase, a type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p provide cytosolic NADH to the mitochondrial respiratory chain",small molecule metabolism,JBE_00009544_S01,MATalpha,Euroscarf,HTP098,non-responsive mutant,0,This study
NPT1,YOR209C,"Nicotinate phosphoribosyltransferase, acts in the salvage pathway of NAD+ biosynthesis; required for silencing at rDNA and telomeres and has a role in silencing at mating-type loci; localized to the nucleus",small molecule metabolism,JBE_00010285_S01 / JBE_00010286_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",HTP112 / HTP112,responsive mutant,56,This study
NTH1,YDR001C,"Neutral trehalase, degrades trehalose; required for thermotolerance and may mediate resistance to other cellular stresses; may be phosphorylated by Cdc28p",small molecule metabolism,EA_00006526_S01 / EA_00006527_S01,MATalpha,Open Biosystems / Open Biosystems,EA035 / EA035,non-responsive mutant,0,4
NTH2,YBR001C,"Putative neutral trehalase, required for thermotolerance and may mediate resistance to other cellular stresses",small molecule metabolism,EA_00004087_S01 / EA_00004088_S01,MATalpha,Open Biosystems / Open Biosystems,EA025 / EA025,responsive mutant,27,4
OPI3,YJR073C,"Phospholipid methyltransferase (methylene-fatty-acyl-phospholipid synthase), catalyzes the last two steps in phosphatidylcholine biosynthesis",small molecule metabolism,JBE_00010572_S01 / JBE_00011054_S01,MATalpha,Open Biosystems / Open Biosystems,HTP112 / HTP112,responsive mutant,995,This study
PCL6,YER059W,Pho85p cyclin of the Pho80p subfamily; forms the major Glc8p kinase together with Pcl7p and Pho85p; involved in the control of glycogen storage by Pho85p; stabilized by Elongin C binding,small molecule metabolism,EA_00005291_S01 / EA_00005292_S01,MATalpha,Open Biosystems / Open Biosystems,EA030 / EA030,responsive mutant,12,This study
PCL8,YPL219W,"Cyclin, interacts with Pho85p cyclin-dependent kinase (Cdk) to phosphorylate and regulate glycogen synthase, also activates Pho85p for Glc8p phosphorylation",small molecule metabolism,JBE_00008657_S01 / JBE_00009160_S01,MATalpha,Open Biosystems / Open Biosystems,HTP030 / HTP030,responsive mutant,23,This study
PCT1,YGR202C,"Cholinephosphate cytidylyltransferase, also known as CTP:phosphocholine cytidylyltransferase, rate-determining enzyme of the CDP-choline pathway for phosphatidylcholine synthesis, inhibited by Sec14p, activated upon lipid-binding",small molecule metabolism,MBR_00011787_S01 / MBR_00011786_S01,MATalpha,Open Biosystems / Open Biosystems,HTP144 / HTP144,non-responsive mutant,1,This study
PET112,YBL080C,Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog,small molecule metabolism,JBE_00008264_S01 / JBE_00008356_S01,MATalpha,Open Biosystems / Open Biosystems,HTP042 / HTP042,responsive mutant,6,2
PFK1,YGR240C,"Alpha subunit of heterooctameric phosphofructokinase involved in glycolysis, indispensable for anaerobic growth, activated by fructose-2,6-bisphosphate and AMP, mutation inhibits glucose induction of cell cycle-related genes",small molecule metabolism,EA_00009339_S01 / EA_00009340_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",EA043 / EA043,responsive mutant,26,4
